id,crime_type,date,time,latitude,longitude,area,severity
1,Theft,2024-01-10,21:30,19.0760,72.8777,South Mumbai,Medium
2,Assault,2024-01-11,22:00,19.1136,72.8697,Fort,High
3,Burglary,2024-01-12,02:15,19.1619,72.8298,Colaba,High
4,Robbery,2024-01-13,20:45,19.2183,72.8397,Bandra,Medium
5,Theft,2024-01-14,18:10,19.0527,72.8286,Worli,Low
6,Cybercrime,2024-01-15,10:30,19.0881,72.8687,Fort,Medium
7,Rape,2024-01-16,23:00,19.1670,72.8289,Dadar,High
8,Murder,2024-01-17,01:45,19.2806,72.8628,Andheri,High
9,Theft,2024-01-18,19:20,19.2183,72.9781,Borivali,Low
10,Assault,2024-01-19,14:30,19.1136,72.8697,Fort,Medium
11,Burglary,2024-01-20,03:15,19.0760,72.8777,South Mumbai,High
12,Robbery,2024-01-21,21:00,19.2806,72.8628,Andheri,Medium
13,Theft,2024-01-22,17:45,19.1670,72.8289,Dadar,Low
14,Cybercrime,2024-01-23,11:20,19.0527,72.8286,Worli,Medium
15,Assault,2024-01-24,19:30,19.2183,72.8397,Bandra,High
16,Theft,2024-01-25,20:15,19.1619,72.8298,Colaba,Low
17,Murder,2024-01-26,00:45,19.1136,72.8697,Fort,High
18,Robbery,2024-01-27,22:30,19.2806,72.8628,Andheri,Medium
19,Burglary,2024-01-28,02:45,19.0760,72.8777,South Mumbai,High
20,Theft,2024-01-29,18:00,19.1670,72.8289,Dadar,Low
21,Assault,2024-01-30,20:15,19.0760,72.8777,South Mumbai,High
22,Robbery,2024-02-01,19:45,19.2183,72.8397,Bandra,High
23,Burglary,2024-02-02,03:30,19.1136,72.8697,Fort,High
24,Theft,2024-02-03,15:00,19.0527,72.8286,Worli,Low
25,Cybercrime,2024-02-04,09:20,19.1619,72.8298,Colaba,Medium
26,Assault,2024-02-05,21:00,19.1670,72.8289,Dadar,High
27,Murder,2024-02-06,02:30,19.2806,72.8628,Andheri,High
28,Robbery,2024-02-07,20:00,19.2183,72.9781,Borivali,Medium
29,Theft,2024-02-08,17:30,19.0760,72.8777,South Mumbai,Low
30,Burglary,2024-02-09,04:15,19.1136,72.8697,Fort,High
31,Assault,2024-02-10,22:45,19.2183,72.8397,Bandra,High
32,Cybercrime,2024-02-11,11:00,19.0527,72.8286,Worli,Medium
33,Theft,2024-02-12,18:20,19.1670,72.8289,Dadar,Low
34,Robbery,2024-02-13,21:30,19.1619,72.8298,Colaba,Medium
35,Murder,2024-02-14,01:00,19.2806,72.8628,Andheri,High
36,Burglary,2024-02-15,03:45,19.0760,72.8777,South Mumbai,High
37,Assault,2024-02-16,19:15,19.1136,72.8697,Fort,High
38,Theft,2024-02-17,16:50,19.2183,72.9781,Borivali,Low
39,Cybercrime,2024-02-18,10:30,19.0527,72.8286,Worli,Medium
40,Robbery,2024-02-19,20:45,19.2183,72.8397,Bandra,Medium
41,Assault,2024-02-20,23:00,19.1670,72.8289,Dadar,High
42,Burglary,2024-02-21,02:20,19.1136,72.8697,Fort,High
43,Murder,2024-02-22,00:30,19.0760,72.8777,South Mumbai,High
44,Theft,2024-02-23,17:15,19.1619,72.8298,Colaba,Low
45,Robbery,2024-02-24,21:00,19.2806,72.8628,Andheri,Medium
46,Assault,2024-02-25,20:30,19.0527,72.8286,Worli,High
47,Cybercrime,2024-02-26,09:45,19.2183,72.8397,Bandra,Medium
48,Burglary,2024-02-27,03:00,19.1670,72.8289,Dadar,High
49,Theft,2024-02-28,18:45,19.2183,72.9781,Borivali,Low
50,Murder,2024-02-29,02:15,19.1136,72.8697,Fort,High
51,Assault,2024-03-01,21:30,19.0760,72.8777,South Mumbai,High
52,Robbery,2024-03-02,20:00,19.1619,72.8298,Colaba,Medium
53,Burglary,2024-03-03,04:30,19.2183,72.8397,Bandra,High
54,Theft,2024-03-04,16:20,19.0527,72.8286,Worli,Low
55,Cybercrime,2024-03-05,11:15,19.1670,72.8289,Dadar,Medium
56,Assault,2024-03-06,22:45,19.2806,72.8628,Andheri,High
57,Murder,2024-03-07,01:30,19.2183,72.9781,Borivali,High
58,Robbery,2024-03-08,19:45,19.1136,72.8697,Fort,Medium
59,Burglary,2024-03-09,03:15,19.0760,72.8777,South Mumbai,High
60,Theft,2024-03-10,17:00,19.1619,72.8298,Colaba,Low
61,Assault,2024-03-11,20:15,19.0527,72.8286,Worli,High
62,Cybercrime,2024-03-12,10:00,19.2183,72.8397,Bandra,Medium
63,Robbery,2024-03-13,21:30,19.1670,72.8289,Dadar,Medium
64,Murder,2024-03-14,00:45,19.2806,72.8628,Andheri,High
65,Burglary,2024-03-15,02:30,19.1136,72.8697,Fort,High
